movie_ID,movie_Title,movie_Year,movie_Director,movie_DirectorID,bestPicture,AFIRank,studio
1382,Citizen Kane ,1941,Orson Welles,1,Y,1,RKO
1383,Casablanca ,1942,Michael Curtiz,2,Y,2,Warner Bros.
1481,Yankee Doodle Dandy ,1942,Michael Curtiz,2, ,100,Warner Bros.
1384,"Godfather, The ",1972,Francis Ford Coppola,3,Y,3,Paramount
1409,Apocalypse Now ,1979,Francis Ford Coppola,3, ,28,Zoetrope
1414,"Godfather: Part II, The ",1974,Francis Ford Coppola,3,Y,32,Paramount
1385,Gone with the Wind ,1939,Victor Flamingo,4,Y,4,MGM
1387,"Wizard of Oz, The ",1939,Victor Fleming,4, ,6,MGM
1386,Lawrence of Arabia ,1962,David Lean,5,Y,5,Columbia
1394,"Bridge on the River Kwai, The ",1957,David Lean,5,Y,13,Columbia
1421,Doctor Zhivago ,1965,David Lean,5, ,39,MGM
1388,"Graduate, The ",1967,Mike Nichols,6, ,7,Embassy
1389,On the Waterfront ,1954,Elia Kazan,7,Y,8,Columbia
1427,"Streetcar Named Desire, A ",1951,Elia Kazan,7, ,45,Warner Bros.
1390,Schindler's List ,1993,Steven Spielberg,8,Y,9,Universal
1406,E.T. the Extra-Terrestrial ,1982,Steven Spielberg,8, ,25,Universal
1429,Jaws ,1975,Steven Spielberg,8, ,48,Universal
1441,Raiders of the Lost Ark ,1981,Steven Spielberg,8, ,60,Paramount
1445,Close Encounters of the Third Kind ,1977,Steven Spielberg,8, ,64,Columbia
1391,Singin' in the Rain ,1952,Stanley Donen,9, ,10,MGM
1392,It's a Wonderful Life ,1946,Frank Capra,10, ,11,RKO
1410,Mr. Smith Goes to Washington ,1939,Frank Capra,10, ,29,Columbia
1417,It Happened One Night ,1934,Frank Capra,10,Y,35,Columbia
1393,Sunset Blvd. ,1950,Billy Wilder,11, ,12,Paramount
1395,Some Like It Hot ,1959,Billy Wilder,11, ,14,Ashton/Mirisch
1420,Double Indemnity ,1944,Billy Wilder,11, ,38,Parmount
1474,The Apartment ,1960,Billy Wilder,11,Y,93,United Artists
1396,Star Wars ,1977,George Lucas,12, ,15,20th Century Fox
1458,American Graffiti ,1973,George Lucas,12, ,77,Universal
1397,All About Eve ,1950,Joseph L. Mankiewicz,13,Y,16,20th Century Fox
1398,"African Queen, The ",1951,John Huston,14, ,17,United Artists
1404,"Maltese Falcon, The ",1941,John Huston,14, ,23,Warner Bros.
1411,"Treasure of the Sierra Madre, The ",1948,John Huston,14, ,30,Warner Bros.
1399,Psycho ,1960,Alfred Hitchcock,15, ,18,Paramount
1422,North by Northwest ,1959,Alfred Hitchcock,15, ,40,MGM
1424,Rear Window ,1954,Alfred Hitchcock,15, ,42,Paramount
1442,Vertigo ,1958,Alfred Hitchcock,15, ,61,Paramount
1400,Chinatown ,1974,Roman Polanski,16, ,19,Paramount
1401,One Flew Over the Cuckoo's Nest ,1975,Milos Forman,17,Y,20,United Artists
1434,Amadeus ,1984,Milos Forman,17,Y,53,Orion
1402,"Grapes of Wrath, The ",1940,John Ford,18, ,21,20th Century Fox
1444,Stagecoach ,1939,John Ford,18, ,63,Walter Wanger/United Artists
1477,The Searchers ,1956,John Ford,18, ,96,Warner Bros.
1403,2001: A Space Odyssey ,1968,Stanley Kubrick,19, ,22,MGM
1407,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1964,Stanley Kubrick,19, ,26,Columbia
1412,"Clockwork Orange, A ",1971,Stanley Kubrick,19, ,46,Warner Bros.
1405,Raging Bull ,1980,Martin Scorsese,20, ,24,United Artists
